// Edit this file to update the lesson website.
// Format for each item:
// Chinese | Pinyin | English

# Lesson 1: Hello & Self Introduction

## Key Vocabulary
你好 | nǐ hǎo | hello
您好 | nín hǎo | polite hello
你们好 | nǐmen hǎo | hello everyone
我 | wǒ | I; me
叫 | jiào | to be called
是 | shì | am; is; are
名字 | míngzi | name
姓 | xìng | surname
请问 | qǐngwèn | may I ask
贵姓 | guìxìng | your surname, polite
来自 | láizì | come from
加拿大 | Jiānádà | Canada
美国 | Měiguó | United States
中国 | Zhōngguó | China

## Key Sentences
你好！ | nǐ hǎo! | Hello!
我叫 Kathy。 | wǒ jiào Kathy. | My name is Kathy.
你叫什么名字？ | nǐ jiào shénme míngzi? | What is your name?
请问，您贵姓？ | qǐngwèn, nín guìxìng? | May I ask your surname?
我姓 Zhang。 | wǒ xìng Zhang. | My surname is Zhang.
我是中国人。 | wǒ shì Zhōngguó rén. | I am Chinese.
我来自加拿大。 | wǒ láizì Jiānádà. | I am from Canada.
很高兴认识你。 | hěn gāoxìng rènshi nǐ. | Nice to meet you.
我也很高兴认识你。 | wǒ yě hěn gāoxìng rènshi nǐ. | Nice to meet you too.
你是哪国人？ | nǐ shì nǎ guó rén? | Which country are you from?
你呢？ | nǐ ne? | How about you?

# Lesson 2: My Family

## Key Vocabulary
家 | jiā | home; family
家人 | jiārén | family members
爸爸 | bàba | dad
妈妈 | māma | mom
哥哥 | gēge | older brother
姐姐 | jiějie | older sister
弟弟 | dìdi | younger brother
妹妹 | mèimei | younger sister
爷爷 | yéye | grandpa
奶奶 | nǎinai | grandma
朋友 | péngyou | friend
谁 | shéi | who
有 | yǒu | have
没有 | méiyǒu | do not have
的 | de | possessive particle
兄弟姐妹 | xiōngdì jiěmèi | siblings
猫 | māo | cat
狗 | gǒu | dog

## Key Sentences
这是谁？ | zhè shì shéi? | Who is this?
这是我的妈妈。 | zhè shì wǒ de māma. | This is my mom.
他是我的哥哥。 | tā shì wǒ de gēge. | He is my older brother.
她是我的妹妹。 | tā shì wǒ de mèimei. | She is my younger sister.
这是你的爸爸吗？ | zhè shì nǐ de bàba ma? | Is this your dad?
我有一个妹妹。 | wǒ yǒu yí ge mèimei. | I have a younger sister.
我没有弟弟。 | wǒ méiyǒu dìdi. | I do not have a younger brother.
他很聪明。 | tā hěn cōngming. | He is smart.
她很友好。 | tā hěn yǒuhǎo. | She is friendly.
它很可爱。 | tā hěn kě'ài. | It is cute.
他很忙。 | tā hěn máng. | He is busy.

# Lesson 3: Daily Plans & Weekly Schedule

## Key Vocabulary
今天 | jīntiān | today
明天 | míngtiān | tomorrow
后天 | hòutiān | the day after tomorrow
上午 | shàngwǔ | morning
中午 | zhōngwǔ | noon; lunchtime
下午 | xiàwǔ | afternoon
晚上 | wǎnshang | evening; night
周末 | zhōumò | weekend
去 | qù | go
跑步 | pǎobù | run
工作 | gōngzuò | work
看电影 | kàn diànyǐng | watch a movie
吃饭 | chīfàn | eat; have a meal
休息 | xiūxi | rest
学中文 | xué Zhōngwén | study Chinese
机场 | jīchǎng | airport
超市 | chāoshì | supermarket
公园 | gōngyuán | park
